Room,Time,MilTime,Name,LastName,Department,Abstract,Narrative
2nd Floor Poster,1:00 - 3:30 PM,13:00 - 15:30,Prashasti Kumar,Kumar,Genome Science and Technology,"Insights into a low promiscuous aminoglycoside modifying enzyme, aminoglycoside n3 acetyltransferase-via",We work on characterizing drug-modifying enzymes by using biochemical and biophysical techniques. Interactions of drug-modifying enzymes with their ligands are studied to gain more insights into protein-small molecule interactions.
2nd Floor Poster,1:00 - 3:30 PM,13:00 - 15:30,Anna McClain,McClain,Oak Ridge National Lab - Biosciences Division,Susceptibility of Arctic Permafrost Organic Matter to Rapid Enzymatic Decomposition as a Predictor for CO2 Production,Thawing Arctic permafrost will amplify global warming because the previously stable organic carbon stores will be converted to carbon dioxide and released into the atmosphere. Current predictions of carbon released from thawing permafrost  soils are inexact. By improving our understanding of the amount of permafrost soil organic matter available for microbial decomposition we can better predict the future extent and rate of carbon dioxide production. 
2nd Floor Poster,1:00 - 3:30 PM,13:00 - 15:30,Amber Moody,Moody,Chemistry,Bioanalytical Sensor Development for Detection of Neurotransmitters,"The goal is to develop a non-invasive, or minimally invasive method for detecting neurotransmitters through the skull using Raman spectroscopy. Detection of neurotransmitters will allow us to gain information about the development of various neurological diseases. "
2nd Floor Poster,1:00 - 3:30 PM,13:00 - 15:30,Preenaa Venugopal,Venugopal,Biosystems Engineering and Soil Science, Ionic liquids provide a versatile and efficient pathway for biomass fractionation,"Ionic liquids can effectively fractionate lignocellulosic biomass to produce pure streams of lignin, cellulose, and hemicellulose. These fractions can then be converted into fuel ethanol, acids, and other chemicals that are widely used in the pharmaceutical, cosmetic, and food industry, to name a few. Ionic liquids are favorable because they are safe, non-toxic, thermally stable and easy to handle."
2nd Floor Poster,1:00 - 3:30 PM,13:00 - 15:30,Amanda Bachmann,Bachmann,Nuclear Engineering,Multivariate Analysis of Gamma Spectra to Infer Used Nuclear Fuel Characteristics,"This research explores how the passive gamma and neutron spectra of used nuclear fuel can be used to estimate the burnup, enrichment, and cooling time of the fuel. By using Multivariate analysis of the data, a model is created to predict these characteristics of the used nuclear fuel."
2nd Floor Poster,1:00 - 3:30 PM,13:00 - 15:30,Alexandra Galaska,Galaska,Chemical and Biomolecular Engineering,Epoxy Nanocomposites with Reduced Flamability Derived From Magnesium Hydroxide-Melamine Polyphosphate Hybrids,Galaska is presenting her findings on combining two flame retardants together in a polymer. The results show a promising hope to make materials for household and travel flame-resistant. 
2nd Floor Poster,1:00 - 3:30 PM,13:00 - 15:30,Hannah Hajdik,Hajdik,"Mechanical, Aerospace, and Biomedical Engineering",Structural performance of composite patches under low-velocity impact loading,"Composite materials are often used to repair damaged metal components in ships because they are lightweight, easy to install, and strong, but can be unpredictable when further damage occurs, typically from dropped objects or other low-velocity impacts. Computer simulations were used to determine the results of these impacts and the effects different variable metal properties have on the damage. "
2nd Floor Poster,1:00 - 3:30 PM,13:00 - 15:30,Emily Kounlavong,Kounlavong,Chemistry,Surface-Enhanced Raman Spectroscopy Detection of Neurotransmitters,"In the Sharma group, we are focusing on creating a rapid and noninvasive method to detect neurotransmitter levels in biological fluids. This detection permits the study of the role that neurotransmitters play in biological processes and various diseases in the hopes of developing a method for early detection. "
2nd Floor Poster,1:00 - 3:30 PM,13:00 - 15:30,Maeve Lawniczak,Lawniczak,Electrical Engineering and Computer Science,Increasing Inductor Power Density Using Controllable Electropermanent Magnets,"Permanent magnetic materials and their operational characteristics are analyzed for the application of electropermanent magnets in power electronics and power systems as a more power efficient means of implementing devices currently being used in switched mode power supplies, motors and the power grid. "
2nd Floor Poster,1:00 - 3:30 PM,13:00 - 15:30,Qiaoming Liu,Liu,Biosystems Engineering and Soil Science,Pretreatment approach for reducing switchgrass and loblolly pine bark inorganic impurities during gasification,This study focuses on evaluating of hot water extraction as a strategy for removing inorganics in switchgrass and pine bark.
2nd Floor Poster,1:00 - 3:30 PM,13:00 - 15:30,Natalie McGirl,McGirl,Nuclear Engineering,Secondary Neutron Yields Produced by Thick-Target Aluminum Interactions,"Recent calculations of galactic cosmic ray transport in enclosed, shielded space environments indicate that a minimum dose equivalent is achieved with a shielding thickness of ~20 g/cm^2. Increases in the dose equivalent and effective dose with shielding thickness >20 g/cm^2 are believed to be caused by the production of light ions and neutrons in the shielding. Experimental neutron yields measured in March 2016 will be incorporated in NASA’s transport code uncertainty analysis which will ultimately help determine optimal shielding thicknesses for future space applications.  "
2nd Floor Poster,1:00 - 3:30 PM,13:00 - 15:30,Kalavathy Rajan,Rajan,Biosystems Engineering and Soil Science,Renewable polymers from biorefinery wastes,We are trying to develop renewable polymers from biorefinery wastes such as lignin from tree bark and hemicelluloses from pretreated wood in order to improve its sustainability. Renewable co-products also adds value to waste and generates new sources of revenue.
2nd Floor Poster,1:00 - 3:30 PM,13:00 - 15:30,Jessica Torres,Torres,Oak Ridge National Laboratory - National Transportation Research Center,Modeling the impact of biomass inlet conditions on its conversion to bio-oil in a fast pyrolysis reactor,"Modeling what is happening inside a reactor can reveal important details previously unknown from observation and experimentation. Through simulations of a biomass fast pyrolysis reactor, we were able to provide insight into particular run conditions that can optimize biomass conversion to biofuel without ever touching the actual reactor. This technology can help make biofuel a more competitive energy source in the global market."
2nd Floor Poster,1:00 - 3:30 PM,13:00 - 15:30,Karissa Cross,Cross,Microbiology,"Characterization of the first host-associated Desulfobulbus (Deltaproteobacteria) from the human oral cavity, a sulfate reducer associated with periodontal disease","Periodontitis is an inflammatory disease that results in significant tooth loss and can contribute to systemic diseases such as inflammatory bowel disease and cardiovascular disease. The cause of periodontal disease is unclear however we suspect it is due to an increase in abundance of certain microorganisms in the mouth, specifically anaerobic sulfate reducers. We have isolated the first Desulfobulbus sulfate reducer from the human oral cavity, Desulfobulbus oralis, and have characterized it to understand how such organisms could aid in periodontal disease progression."
2nd Floor Poster,1:00 - 3:30 PM,13:00 - 15:30,Snehal Joshi,Joshi,Oak Ridge National Lab - Biosciences Division,Experimental design for cultivation of uncultured bacteria from the human oral cavity,"Approximately 3 million cases of periodontitis are reported in the US per year. Periodontitis leads to tooth loss and secondary consequences such as inflammatory bowel disease, cardiovascular disease, and diabetes. Studies have shown a strong association between diseased state and a shift in the healthy oral microbiome with an increased abundance of certain bacterial species. To be able to fully understand the role of these microbes in disease progression, their cultivation and characterization is crucial.  "
2nd Floor Poster,1:00 - 3:30 PM,13:00 - 15:30,Punita Manga,Manga,Genome Science and Technology,Physiological and Systems Level Characterization of Caldicellulosiruptor bescii Acid Stress Responses,My research aims at developing a better understanding of the cellular and molecular responses of Caldicellulosiruptor bescii to low pH and high osmolarity as possible growth inhibitory stress conditions. We employ global omics as well as genomic screening tools developed and/or tailored for C. bescii alongside to enable identification of genetic elements involved in these stress responses and facilitate future robust strain development.
2nd Floor Poster,1:00 - 3:30 PM,13:00 - 15:30,Sony Pandey,Pandey,Small Animal Clinical Sciences,"Efficacy of two non-cardiotoxic doxorubicin derivatives, AD 312 and AD 198 treatments in bladder cancer.","Doxorubicin (Dox) is a widely used chemotherapeutic drug in the treatment of bladder cancer, however Dox has cardiotoxic effects. In our study we evaluated the benefits of using novel  non-cardiotoxic Dox derivatives,  AD 312 and AD 198 in bladder cancer treatment. We examined the effects of these drugs in bladder cancer cell viability and expression of key proteins that are important in cancer progression. We found that AD 312 and AD 198 is more effective than Dox  and are promising candidates for the treatment of bladder cancer. "
2nd Floor Poster,1:00 - 3:30 PM,13:00 - 15:30,Erika Sanders,Sanders,Biochemistry & Cellular and Molecular Biology,Identification of a general targeting motif guiding interaction between nuclear-encoded plastid precursors and the translocon of the plastid outer membrane. ,Chloroplasts must rely on the plant cell's inherent delivery system to acquire new proteins.  This phenomenon is known as protein trafficking.  Chloroplast protein trafficking requires the coordination of nanomolecular machinery as well as the recognition of a highly specific region of the chloroplast protein.  This poster explores the complexity of the FGLK region of the transit peptide involved in protein trafficking. 
2nd Floor Poster,1:00 - 3:30 PM,13:00 - 15:30,Rachel Winstead,Winstead,Microbiology,Quantitative analysis of microbial abundance within Arctic fjord sediments assessed through direct counting,
